a_fm,L,kappa,phi,Delta_R_V_Aeternvm,Vud_eff,Soma_CKM,Deficit
0.06,64,0.0005,1.0,0.02592,0.97371,0.99885,0.00115
0.06,64,0.0005,1.2,0.02617,0.97362,0.99866,0.00134
0.06,64,0.0005,1.4,0.02642,0.97352,0.99847,0.00153
0.06,64,0.001,0.8,0.02667,0.97342,0.99828,0.00172
0.09,48,0.0005,1.0,0.02592,0.97371,0.99885,0.00115
0.09,48,0.0005,1.2,0.02617,0.97362,0.99866,0.00134
0.09,48,0.0005,1.4,0.02642,0.97352,0.99847,0.00153
0.09,48,0.001,0.8,0.02667,0.97342,0.99828,0.00172
0.12,32,0.0005,1.0,0.02592,0.97371,0.99885,0.00115
0.12,32,0.0005,1.2,0.02617,0.97362,0.99866,0.00134
0.12,32,0.0005,1.4,0.02642,0.97352,0.99847,0.00153
0.12,32,0.001,0.8,0.02667,0.97342,0.99828,0.00172
