a_fm,L,kappa,phi,Delta_R_V_Aeternvm,Vud_eff,Soma_CKM,Deficit
0.06,64,0.0005,0.8,0.02567,0.97381,0.99904,0.00096
0.06,64,0.0005,1.0,0.02592,0.97371,0.99885,0.00115
0.06,64,0.0005,1.2,0.02617,0.97362,0.99866,0.00134
0.06,64,0.0005,1.4,0.02642,0.97352,0.99847,0.00153
0.06,64,0.001,0.8,0.02667,0.97342,0.99828,0.00172
0.06,64,0.001,1.0,0.02717,0.97323,0.9979,0.0021
0.06,64,0.001,1.2,0.02767,0.97303,0.99752,0.00248
0.06,64,0.001,1.4,0.02817,0.97284,0.99714,0.00286
0.06,64,0.0015,0.8,0.02767,0.97303,0.99752,0.00248
0.06,64,0.0015,1.0,0.02842,0.97274,0.99695,0.00305
